Comune	Pop.residente(01/01/2019)	Dens.demografica(ab/kmq)
Missaglia	8712.00	755.27
Moggio	491.00	36.56
Moglia	5458.00	172.28
Moio de' Calvi	205.00	32.41
Molteno	3593.00	1157.74
Moltrasio	1598.00	182.18
Monasterolo del Castello	1148.00	131.03
Monguzzo	2370.00	630.00
Moniga del Garda	2596.00	175.72
Monno	535.00	17.40
Montagna in Valtellina	2996.00	67.62
Montalto Pavese	896.00	47.00
Montanaso Lombardo	2264.00	238.53
Montano Lucino	5274.00	1003.25
Monte Cremasco	2290.00	994.02
Monte Isola	1709.00	138.12
Monte Marenzo	1888.00	620.01
Montebello della battaglia	1563.00	101.38
Montecalvo Versiggia	532.00	46.74
Montegrino Valtravaglia	1489.00	146.32
Montello	3288.00	1796.81
Montemezzo	224.00	25.29
Montescano	424.00	177.55
Montesegale	279.00	19.03
Montevecchia	2699.00	462.49
Monticelli Brusati	4546.00	414.65
Monticelli Pavese	732.00	36.50
Monticello Brianza	4174.00	917.52
Montichiari	25902.00	314.88
Montirone	5147.00	484.60
Montodine	2503.00	219.24
Montorfano	2549.00	729.88
Montu' Beccaria	1638.00	105.92
Monvalle	1954.00	429.52
Monza	123397.00	3735.55
Monzambano	4947.00	162.47
Morazzone	4276.00	765.26
Morbegno	12405.00	837.41
Morengo	2527.00	265.00
Morimondo	1084.00	43.11
Mornago	5011.00	406.67
Mornico al Serio	2960.00	424.96
Mornico Losana	612.00	74.83
Mortara	15407.00	295.59
Morterone	33.00	2.55
Moscazzano	753.00	95.18
Motta Baluffi	893.00	54.47
Motta Visconti	8062.00	759.06
Motteggiana	2575.00	104.76
Mozzanica	4533.00	480.82
Mozzate	8960.00	839.82
Mozzo	7470.00	2038.71
Muggio'	23536.00	4305.46
Mulazzano	5798.00	370.56
Mura	774.00	62.52
Muscoline	2679.00	263.35
Musso	972.00	267.13
Nave	10790.00	398.46
Nembro	11526.00	756.81
Nerviano	17121.00	1295.42
Nesso	1212.00	81.64
Niardo	2027.00	90.04
Nibionno	3702.00	1052.09
Nicorvo	294.00	37.15
Nosate	655.00	136.76
Nova Milanese	23514.00	3991.45
Novate Mezzola	1899.00	19.00
Novate Milanese	20032.00	3662.21
Novedrate	2853.00	995.21
Noviglio	4607.00	287.43
Nuvolento	3994.00	530.57
Nuvolera	4781.00	356.67
Odolo	1916.00	296.61
Offanengo	6084.00	479.26
Offlaga	4061.00	178.13
Oggiona con Santo Stefano	4332.00	1579.96
Oggiono	9152.00	1140.36
Olevano di Lomellina	710.00	46.81
Olgiate Comasco	11682.00	1060.92
Olgiate Molgora	6509.00	911.15
Olgiate Olona	12541.00	1726.65
Olginate	7039.00	878.00
Oliva Gessi	162.00	43.22
Oliveto Lario	1219.00	78.17
Olmeneta	946.00	104.00
Olmo al Brembo	497.00	63.27
Oltre il Colle	1008.00	30.52
Oltressenda Alta	148.00	8.43
Oltrona di San Mamette	2379.00	891.74
Ome	3220.00	326.87
Oneta	588.00	32.04
Ono San Pietro	963.00	70.54
Onore	908.00	76.05
Opera	13920.00	1814.11
Origgio	7880.00	988.88
Orino	823.00	227.11
Orio al Serio	1746.00	570.02
Orio Litta	2027.00	210.16
Ornago	5109.00	862.36
Ornica	148.00	10.07
Orsenigo	2736.00	620.71
Orzinuovi	12520.00	259.44
Orzivecchi	2456.00	245.72
Osio Sopra	5300.00	1017.56
Osio Sotto	12555.00	1644.34
Osnago	4750.00	1064.31
Ospedaletto Lodigiano	1706.00	234.08
Ospitaletto	14774.00	1583.53
Ossago Lodigiano	1433.00	122.86
Ossimo	1444.00	96.92
Ossona	4336.00	714.41
Ostiano	2880.00	150.19
Ostiglia	6607.00	169.21
Ottobiano	1106.00	44.60
Ozzero	1449.00	133.87
Padenghe sul Garda	4684.00	172.66
Paderno d'Adda	3805.00	1081.95
Paderno Dugnano	46306.00	3308.84
Paderno Franciacorta	3660.00	652.82
Paderno Ponchielli	1407.00	59.26
Pagazzano	2097.00	397.90
Pagnona	351.00	39.58
Paisco Loveno	185.00	5.30
Paitone	2125.00	269.02
Paladina	4063.00	1939.63
Palazzago	4488.00	322.13
Palazzo Pignano	3817.00	429.20
Palazzolo sull'Oglio	20104.00	869.18
Palestro	1897.00	102.30
Palosco	5756.00	538.08
Pancarana	300.00	52.11
Pandino	9033.00	405.23
Pantigliate	6031.00	1064.30
Parabiago	27825.00	1947.95
Paratico	4832.00	773.21
Parlasco	134.00	46.71
Parona	1905.00	204.60
Parre	2725.00	122.62
Parzanica	352.00	36.87
Paspardo	602.00	53.79
Passirano	7068.00	526.77
Pasturo	1986.00	91.49
Paullo	11355.00	1295.66
Pavia	73086.00	1150.65
Pavone del Mella	2770.00	237.64
Pedesina	38.00	6.51
Pedrengo	6022.00	1673.89
Peglio	191.00	17.59
Pegognaga	7042.00	151.30
Peia	1792.00	405.80
Perledo	914.00	66.94
Pero	11418.00	2278.43
Persico Dosimo	3389.00	163.43
Pertica Alta	543.00	26.92
Pertica Bassa	609.00	20.98
Pescarolo ed Uniti	1525.00	91.94
Pescate	2221.00	1062.38
Peschiera Borromeo	23504.00	1007.11
Pessano con Bornago	9053.00	1358.90
Pessina Cremonese	632.00	28.48
Pezzaze	1492.00	69.99
Piadena Drizzona	3986.00	126.75
Pian Camuno	4741.00	427.78
Piancogno	4696.00	326.60
Pianello del Lario	1042.00	104.94
Pianengo	2519.00	440.40
Pianico	1436.00	537.38
Piantedo	1390.00	203.38
Piario	1065.00	695.15
Piateda	2139.00	30.48
Piazza Brembana	1205.00	179.31
Piazzatorre	387.00	16.46
Piazzolo	88.00	22.16
Pieranica	1133.00	414.80
Pietra de' Giorgi	835.00	76.24
Pieve Albignola	860.00	46.71
Pieve del Cairo	1930.00	78.15
Pieve d'Olmi	1277.00	65.49
Pieve Emanuele	15860.00	1235.02
Pieve Fissiraga	1769.00	145.13
Pieve Porto Morone	2660.00	162.83
Pieve San Giacomo	1596.00	107.07
Pigra	235.00	53.82
Pinarolo Po	1685.00	148.13
Pioltello	37002.00	2819.61
Pisogne	7963.00	162.14
Piubega	1704.00	101.34
Piuro	1915.00	22.93
Pizzale	709.00	101.83
Pizzighettone	6432.00	201.64
Plesio	832.00	49.69
Poggio Rusco	6647.00	156.62
Poggiridenti	1871.00	657.47
Pogliano Milanese	8392.00	1756.74
Pognana Lario	681.00	134.98
Pognano	1610.00	494.52
Polaveno	2510.00	275.51
Polpenazze del Garda	2706.00	292.98
Pompiano	3760.00	247.22
Pomponesco	1705.00	134.25
Poncarale	5211.00	413.59
Ponna	239.00	41.13
Ponte di Legno	1761.00	17.23
Ponte in Valtellina	2291.00	33.87
Ponte Lambro	4326.00	1273.08
Ponte Nizza	784.00	34.19
Ponte Nossa	1800.00	315.03
Ponte San Pietro	11579.00	2508.07
Ponteranica	6821.00	809.48
Pontevico	7138.00	243.70
Ponti sul Mincio	2405.00	206.18
Pontida	3377.00	323.57
Pontirolo Nuovo	4999.00	449.00
Pontoglio	6880.00	621.23
Porlezza	4964.00	266.74
Portalbera	1482.00	333.48
Porto Ceresio	2942.00	550.87
Porto Mantovano	16578.00	440.10
Porto Valtravaglia	2360.00	143.35
Postalesio	676.00	62.92
Pozzaglio ed Uniti	1470.00	71.41
Pozzo d'Adda	6159.00	1455.70
Pozzolengo	3523.00	166.82
Pozzuolo Martesana	8584.00	695.20
Pradalunga	4630.00	570.14
Pralboino	2923.00	171.18
Prata Camportaccio	2959.00	105.59
Predore	1857.00	170.14
Pregnana Milanese	7375.00	1448.67
Premana	2229.00	67.25
Premolo	1112.00	63.66
Preseglie	1533.00	134.03
Presezzo	4943.00	2149.43
Prevalle	6950.00	695.06
Primaluna	2263.00	100.69
Proserpio	927.00	407.13
Provaglio d'Iseo	7369.00	454.89
Provaglio Val Sabbia	915.00	61.48
Puegnago sul Garda	3458.00	313.89
Pumenengo	1722.00	169.55
Pusiano	1372.00	428.66
Quingentole	1172.00	81.99
Quintano	913.00	319.01
Quinzano d'Oglio	6295.00	292.31
Quistello	5523.00	122.19
Rancio Valcuvia	933.00	210.66
Ranco	1308.00	190.57
Ranica	5956.00	1463.93
Ranzanico	1229.00	170.50
Rasura	290.00	48.50
Rea	406.00	191.20
Redavalle	1052.00	197.97
Redondesco	1264.00	66.61
Remedello	3382.00	157.67
Renate	4032.00	1415.17
Rescaldina	14211.00	1766.50
Retorbido	1562.00	132.50
Rezzago	295.00	75.58
Rezzato	13551.00	745.65
Rho	50602.00	2288.54
Ricengo	1731.00	137.82
Ripalta Arpina	997.00	142.59
Ripalta Cremasca	3397.00	287.61
Ripalta Guerina	532.00	178.88
Riva di Solto	922.00	107.15
Rivanazzano Terme	5327.00	184.21
Rivarolo del Re ed Uniti	1940.00	71.56
Rivarolo Mantovano	2532.00	99.94
Rivolta d'Adda	8173.00	267.75
Robbiate	6386.00	1348.30
Robbio	5860.00	143.76
Robecchetto con Induno	4852.00	349.13
Robecco d'Oglio	2332.00	129.54
Robecco Pavese	542.00	77.72
Robecco sul Naviglio	6762.00	339.79
Rocca de' Giorgi	84.00	8.48
Rocca Susella	218.00	16.77
Roccafranca	4739.00	249.69
Rodano	4571.00	354.24
Rodengo-Saiano	9776.00	754.88
Rodero	1333.00	547.80
Rodigo	5283.00	126.70
Roe' Volciano	4515.00	784.74
Rogeno	3127.00	651.19
Rognano	640.00	69.41
Rogno	3866.00	248.62
Rogolo	558.00	43.12
Romagnese	669.00	22.51
Romanengo	3147.00	206.69
Romano di Lombardia	20625.00	1056.91
Ronago	1716.00	822.63
Roncadelle	9453.00	1006.18
Roncaro	1561.00	309.44
Roncello	4755.00	1487.19
Ronco Briantino	3503.00	1179.52
Roncobello	429.00	17.06
Roncoferraro	6971.00	110.07
Roncola	767.00	153.91
Rosasco	574.00	29.20
Rosate	5846.00	309.66
Rota d'Imagna	914.00	152.57
Rovato	19320.00	736.68
Rovellasca	7804.00	2185.26
Rovello Porro	6144.00	1106.65
Roverbella	8718.00	136.70
Rovescala	883.00	106.51
Rovetta	4171.00	169.89
Rozzano	42430.00	3466.63
Rudiano	5810.00	587.35
Sabbio Chiese	3951.00	211.35
Sabbioneta	4162.00	111.59
Sala Comacina	507.00	113.65
Sale Marasino	3347.00	203.17
Salerano sul Lambro	2644.00	602.06
Salo'	10521.00	388.30
Saltrio	3097.00	892.41
Salvirola	1158.00	156.82
Samarate	16125.00	1000.25
Samolaco	2880.00	63.17
San Bartolomeo Val Cavargna	996.00	96.12
San Bassano	2212.00	155.81
San Benedetto Po	6961.00	100.66
San Cipriano Po	478.00	57.38
San Colombano al Lambro	7430.00	446.74
San Damiano al Colle	640.00	100.28
San Daniele Po	1347.00	60.17
San Donato Milanese	32761.00	2536.81
San Felice del Benaco	3427.00	167.92
San Fermo della Battaglia	7820.00	1341.52
San Fiorano	1839.00	205.33
San Genesio ed Uniti	3870.00	421.51
San Gervasio Bresciano	2628.00	244.79
San Giacomo delle Segnate	1533.00	97.13
San Giacomo Filippo	354.00	5.64
San Giorgio Bigarello	11873.00	394.52
San Giorgio di Lomellina	1055.00	41.61
San Giorgio su Legnano	6717.00	3097.79
San Giovanni Bianco	4765.00	154.64
San Giovanni del Dosso	1217.00	80.87
San Giovanni in Croce	1926.00	117.92
San Giuliano Milanese	38537.00	1241.22
San Martino dall'Argine	1714.00	102.83
San Martino del Lago	408.00	41.04
San Martino in Strada	3755.00	284.74
San Martino Siccomario	6439.00	439.30
San Nazzaro Val Cavargna	298.00	23.24
San Paolo	4505.00	240.09
San Paolo d'Argon	5824.00	1091.10
San Pellegrino Terme	4806.00	210.29
San Rocco al Porto	3428.00	114.93
San Siro	1724.00	92.83
San Vittore Olona	8322.00	2396.90
San Zeno Naviglio	4763.00	759.00
San Zenone al Lambro	4448.00	618.44
San Zenone al Po	569.00	84.58
Sangiano	1521.00	681.22
Sannazzaro de' Burgondi	5414.00	232.37
Santa Brigida	542.00	39.48
Santa Cristina e Bissone	1949.00	87.02
Santa Giuletta	1617.00	138.64
Santa Margherita di Staffora	475.00	12.95
Santa Maria della Versa	2293.00	124.05
Santa Maria Hoe'	2169.00	767.20
Sant'Alessio con Vialone	970.00	147.17
Sant'Angelo Lodigiano	13245.00	658.36
Sant'Angelo Lomellina	787.00	74.02
Santo Stefano Lodigiano	1910.00	181.33
Santo Stefano Ticino	5039.00	1003.22
Sant'Omobono Terme	3891.00	239.75
Sarezzo	13289.00	754.40
Sarnico	6756.00	1003.90
Saronno	39415.00	3564.75
Sartirana Lomellina	1593.00	54.30
Saviore dell'Adamello	867.00	10.51
Scaldasole	909.00	79.75
Scandolara Ravara	1346.00	79.53
Scandolara Ripa d'Oglio	525.00	94.93
Scanzorosciate	10011.00	942.65
Schignano	858.00	83.13
Schilpario	1157.00	18.51
Schivenoglia	1161.00	90.62
Secugnago	1956.00	292.02
Sedriano	12246.00	1579.52
Sedrina	2493.00	421.66
Segrate	35935.00	2029.51
Sellero	1430.00	99.58
Selvino	2035.00	313.11
Semiana	207.00	22.94
Senago	21381.00	2500.29
Seniga	1419.00	105.88
Senna Comasco	3182.00	1142.45
Senna Lodigiana	1846.00	69.51
Seregno	44985.00	3459.64
Sergnano	3537.00	288.73
Seriate	25385.00	2023.94
Serina	2066.00	75.97
Serle	3038.00	163.39
Sermide e Felonica	7285.00	91.99
Sernio	489.00	49.77
Serravalle a Po	1475.00	57.13
Sesto Calende	11080.00	444.96
Sesto ed Uniti	3218.00	120.56
Sesto San Giovanni	81393.00	6989.74
Settala	7326.00	421.43
Settimo Milanese	20094.00	1871.44
Seveso	23731.00	3168.45
Silvano Pietra	668.00	49.30
Sirmione	8254.00	314.00
Sirone	2309.00	728.95
Sirtori	2824.00	653.46
Siziano	6128.00	515.27
Soiano del Lago	1888.00	332.41
Solaro	14194.00	2121.48
Solarolo Rainerio	939.00	80.96
Solbiate Arno	4120.00	1368.37
Solbiate con Cagno	4658.00	611.54
Solbiate Olona	5446.00	1108.27
Solferino	2689.00	201.10
Solto Collina	1794.00	153.02
Solza	2039.00	1689.74
Somaglia	3836.00	182.38
Somma Lombardo	17944.00	587.39
Sommo	1158.00	77.72
Soncino	7608.00	168.75
Sondalo	4071.00	43.10
Sondrio	21590.00	1036.74
Songavazzo	722.00	54.54
Sonico	1259.00	20.77
Sordio	3429.00	1210.56
Soresina	8929.00	312.05
Sorico	1263.00	51.97
Sorisole	9139.00	738.00
Sormano	646.00	58.74
Sospiro	3096.00	161.23
Sotto il Monte Giovanni XXIII	4516.00	896.87
Sovere	5324.00	295.09
Sovico	8346.00	2568.50
Spessa	570.00	47.01
Spinadesco	1476.00	87.83
Spineda	611.00	60.26
Spino d'Adda	6807.00	343.31
Spinone al Lago	1010.00	518.24
Spirano	5802.00	596.19
Spriana	84.00	11.32
Stagno Lombardo	1541.00	38.03
Stazzona	598.00	82.81
Stezzano	13234.00	1398.76
Stradella	11578.00	617.81
Strozza	1068.00	280.00
Suardi	612.00	61.64
Sueglio	162.00	39.18
Suello	1760.00	671.74
Suisio	3816.00	832.42
Sulbiate	4334.00	823.34
Sulzano	1943.00	187.55
Sumirago	6115.00	523.32
Sustinente	2028.00	77.00
Suzzara	21313.00	346.21
Taceno	534.00	142.59
Taino	3683.00	488.14
Talamona	4676.00	221.88
Taleggio	545.00	11.71
Tartano	199.00	4.34
Tavazzano con Villavesco	6034.00	374.14
Tavernerio	5805.00	487.49
Tavernola Bergamasca	2026.00	182.79
Tavernole sul Mella	1251.00	63.66
Teglio	4561.00	39.32
Telgate	5068.00	607.01
Temu'	1110.00	25.54
Ternate	2560.00	551.50
Terno d'Isola	8062.00	1961.29
Terranova dei Passerini	927.00	81.55
Ticengo	429.00	54.00
Tignale	1227.00	26.78
Tirano	9011.00	279.54
Torbole Casaglia	6535.00	488.95
Torlino Vimercati	486.00	82.34
Tornata	458.00	47.02
Torno	1153.00	151.02
Torrazza Coste	1623.00	101.43
Torre Beretti e Castellaro	581.00	31.54
Torre Boldone	8777.00	2512.92
Torre d'Arese	944.00	212.06
Torre de' Busi	2126.00	238.10
Torre de' Negri	315.00	79.57
Torre de' Picenardi	2081.00	98.12
Torre de' Roveri	2478.00	918.22
Torre di Santa Maria	749.00	17.00
Torre d'Isola	2425.00	146.30
Torre Pallavicina	1082.00	100.43
Torrevecchia Pia	3519.00	214.10
Torricella del Pizzo	584.00	25.36
Torricella Verzate	833.00	227.18
Toscolano Maderno	7881.00	134.70
Toscolano-Maderno	7881.00	134.70
Toscolano	7881.00	134.70
Tovo di Sant'Agata	640.00	56.61
Tradate	18983.00	878.15
Traona	2798.00	437.01
Travaco' Siccomario	4380.00	258.37
Travagliato	13986.00	785.41
Travedona-Monate	4057.00	429.30
Tremezzina	5141.00	174.02
Tremosine	2103.00	29.01
Trenzano	5448.00	268.53
Trescore Balneario	9765.00	726.21
Trescore Cremasco	2829.00	484.96
Tresivio	1988.00	133.08
Treviglio	30092.00	925.36
Treviolo	10890.00	1280.63
Treviso Bresciano	519.00	29.89
Trezzano Rosa	5174.00	1508.44
Trezzano sul Naviglio	21171.00	1946.50
Trezzo sull'Adda	12171.00	926.15
Trezzone	231.00	58.84
Tribiano	3523.00	498.43
Trigolo	1697.00	106.78
Triuggio	8797.00	1050.97
Trivolzio	2288.00	584.44
Tromello	3770.00	106.90
Tronzano Lago Maggiore	223.00	21.33
Trovo	1018.00	124.71
Truccazzano	5895.00	268.97
Turano Lodigiano	1543.00	94.58
Turate	9507.00	924.44
Turbigo	7251.00	850.57
Ubiale Clanezzo	1384.00	187.47
Uboldo	10656.00	984.07
Uggiate-Trevano	4957.00	854.97
Urago d'Oglio	3751.00	351.78
Urgnano	9984.00	670.46
Usmate Velate	10325.00	1055.58
Vaiano Cremasco	3697.00	603.71
Vailate	4520.00	468.59
Val Brembilla	4293.00	137.67
Val di Nizza	625.00	21.09
Val Masino	881.00	7.63
Val Rezzo	164.00	26.01
Valbondione	1032.00	10.85
Valbrembo	4319.00	1127.21
Valbrona	2639.00	194.31
Valdidentro	4150.00	18.22
Valdisotto	3637.00	40.20
Valeggio	217.00	22.53
Valera Fratta	1708.00	210.11
Valfurva	2566.00	12.00
Valganna	1599.00	130.69
Valgoglio	601.00	18.69
Valgreghentino	3428.00	552.83
Valle Lomellina	2181.00	80.04
Valle Salimbene	1500.00	206.81
Valleve	134.00	9.01
Vallio Terme	1441.00	94.76
Valmadrera	11491.00	920.79
Valmorea	2683.00	851.21
Valnegra	212.00	94.62
Valsolda	1530.00	48.77
Valtorta	267.00	8.74
Valvarrone	547.00	38.20
Valvestino	179.00	5.94
Vanzaghello	5331.00	968.72
Vanzago	9243.00	1523.62
Vaprio d'Adda	9154.00	1273.79
Varano Borghi	2490.00	744.30
Varedo	13596.00	2773.51
Varenna	729.00	58.80
Varese	80559.00	1468.71
Varzi	3115.00	55.44
Vedano al Lambro	7578.00	3843.36
Vedano Olona	7427.00	1047.99
Vedeseta	207.00	10.63
Veduggio con Colzano	4320.00	1221.88
Veleso	218.00	37.37
Velezzo Lomellina	95.00	12.48
Vellezzo Bellini	3331.00	406.05
Vendrogno	296.00	25.25
Venegono Inferiore	6097.00	1041.67
Venegono Superiore	7378.00	1083.01
Veniano	3053.00	964.78
Verano Brianza	9280.00	2623.37
Vercana	747.00	50.51
Verceia	1103.00	97.30
Vercurago	2821.00	1331.76
Verdellino	7563.00	1980.38
Verdello	8070.00	1100.49
Verderio	5619.00	870.22
Vergiate	8716.00	399.88
Vermezzo con Zelo	5805.00	539.44
Vernate	3320.00	228.06
Verolanuova	8190.00	317.35
Verolavecchia	3758.00	178.50
Verretto	372.00	141.75
Verrua Po	1259.00	111.27
Vertemate con Minoprio	4138.00	724.20
Vertova	4587.00	295.76
Vervio	212.00	16.85
Vescovato	3934.00	225.84
Vestone	4316.00	331.30
Vezza d'Oglio	1444.00	26.65
Viadana	20154.00	193.02
Viadanica	1137.00	208.33
Vidigulfo	6508.00	397.82
Vigano'	2089.00	1311.53
Vigano San Martino	1354.00	358.09
Vigevano	63426.00	776.17
Viggiu'	5264.00	574.11
Vignate	9311.00	1083.71
Vigolo	580.00	46.63
Villa Biscossi	72.00	15.58
Villa Carcina	10792.00	759.92
Villa Cortese	6138.00	1737.82
Villa d'Adda	4687.00	782.51
Villa d'Alme'	6667.00	1028.68
Villa di Chiavenna	965.00	30.44
Villa di Serio	6780.00	1472.30
Villa di Tirano	2946.00	120.37
Villa d'Ogna	1849.00	362.21
Villa Guardia	8018.00	1021.99
Villachiara	1416.00	83.96
Villanova d'Ardenghi	771.00	116.51
Villanova del Sillaro	1850.00	138.45
Villanterio	2985.00	207.54
Villanuova sul Clisi	5812.00	640.26
Villasanta	13992.00	2871.94
Villimpenta	2189.00	145.97
Villongo	8188.00	1348.39
Vilminore di Scalve	1458.00	36.07
Vimercate	26114.00	1263.21
Vimodrone	16997.00	3588.36
Vione	667.00	19.54
Visano	1978.00	174.27
Vistarino	1545.00	163.65
Vittuone	9216.00	1492.01
Vizzola Ticino	576.00	76.12
Vizzolo Predabissi	4022.00	704.48
Vobarno	8142.00	152.42
Voghera	39365.00	620.31
Volongo	492.00	61.45
Volpara	125.00	34.98
Volta Mantovana	7326.00	145.37
Voltido	341.00	28.34
Zandobbio	2760.00	424.75
Zanica	8739.00	584.77
Zavattarello	999.00	36.02
Zeccone	1703.00	304.58
Zelbio	199.00	46.57
Zelo Buon Persico	7446.00	390.46
Zeme	1004.00	41.90
Zenevredo	474.00	88.08
Zerbo	404.00	64.46
Zerbolo'	1761.00	48.59
Zibido San Giacomo	6900.00	279.60
Zinasco	3147.00	106.47
Zogno	8883.00	253.49
Zone	1049.00	53.96
