Comune	Pop.residente(01/01/2019)	Dens.demografica(ab/kmq)
Brinzio	814.00	126.49
Brione	721.00	104.68
Briosco	6078.00	905.49
Brissago-Valtravaglia	1223.00	200.36
Brivio	4594.00	580.91
Broni	9603.00	451.43
Brugherio	35064.00	3348.83
Brumano	116.00	14.62
Brunate	1710.00	846.91
Brunello	942.00	598.15
Brusaporto	5627.00	1121.12
Brusimpiano	1202.00	205.38
Bubbiano	2400.00	813.84
Buccinasco	27102.00	2263.50
Buglio in Monte	2011.00	72.62
Buguggiate	3093.00	1238.32
Bulciago	2932.00	927.52
Bulgarograsso	4104.00	1074.48
Burago di Molgora	4246.00	1232.16
Buscate	4697.00	606.49
Busnago	6785.00	1168.11
Bussero	8439.00	1842.35
Busto Arsizio	83628.00	2720.32
Busto Garolfo	13891.00	1066.53
Cabiate	7493.00	2362.81
Cadegliano-Viconago	2181.00	214.27
Cadorago	7995.00	1109.27
Cadrezzate con Osmate	2688.00	322.48
Caglio	483.00	69.66
Caino	2131.00	123.06
Caiolo	1094.00	32.91
Cairate	7671.00	685.37
Calcinate	6013.00	396.80
Calcinato	12993.00	387.25
Calcio	5375.00	339.93
Calco	5413.00	1163.87
Calolziocorte	13867.00	1524.94
Calusco d'Adda	8333.00	1005.28
Calvagese della Riviera	3543.00	303.83
Calvatone	1194.00	87.59
Calvenzano	4262.00	630.58
Calvignano	111.00	16.32
Calvignasco	1228.00	694.27
Calvisano	8497.00	190.57
Cambiago	7023.00	968.52
Camerata Cornello	606.00	47.59
Camisano	1245.00	115.61
Campagnola Cremasca	676.00	144.80
Camparada	2156.00	1257.65
Campione d'Italia	1961.00	730.57
Campodolcino	936.00	19.20
Campospinoso	1095.00	295.63
Candia Lomellina	1556.00	56.34
Canegrate	12679.00	2393.22
Canneto Pavese	1379.00	239.21
Canneto sull'Oglio	4369.00	169.64
Canonica d'Adda	4438.00	1405.30
Cantello	4716.00	519.71
Cantu'	40007.00	1717.21
Canzo	5167.00	457.54
Capergnanica	2158.00	316.76
Capiago Intimiano	5535.00	964.67
Capizzone	1241.00	263.09
Capo di Ponte	2448.00	136.46
Caponago	5179.00	1034.74
Capovalle	353.00	15.60
Cappella Cantone	546.00	42.21
Cappella de' Picenardi	410.00	28.88
Capralba	2324.00	171.91
Capriano del Colle	4656.00	332.47
Capriate San Gervasio	8158.00	1413.77
Caprino Bergamasco	3072.00	350.52
Capriolo	9472.00	893.03
Carate Brianza	17945.00	1810.22
Carate Urio	1168.00	168.49
Caravaggio	16259.00	487.02
Caravate	2565.00	509.65
Carbonara al Ticino	1459.00	99.86
Carbonate	2960.00	594.03
Cardano al Campo	14956.00	1581.32
Carenno	1452.00	189.34
Carimate	4512.00	875.87
Carlazzo	3177.00	248.33
Carnago	6657.00	1081.93
Carnate	7336.00	2111.53
Carobbio degli Angeli	4738.00	689.05
Carona	304.00	7.09
Caronno Pertusella	17938.00	2116.07
Caronno Varesino	4881.00	845.36
Carpenedolo	13096.00	434.19
Carpiano	4194.00	242.23
Carugate	15556.00	2874.49
Carugo	6635.00	1558.05
Carvico	4695.00	1015.25
Casalbuttano ed Uniti	3810.00	170.14
Casale Cremasco-Vidolasco	1867.00	201.44
Casale Litta	2673.00	252.64
Casaletto Ceredano	1152.00	178.74
Casaletto di Sopra	541.00	62.38
Casaletto Lodigiano	2930.00	298.53
Casaletto Vaprio	1802.00	327.47
Casalmaggiore	15445.00	239.02
Casalmaiocco	3145.00	676.71
Casalmorano	1622.00	131.73
Casalmoro	2253.00	163.55
Casaloldo	2714.00	160.18
Casalpusterlengo	15293.00	596.57
Casalromano	1513.00	125.51
Casalzuigno	1370.00	184.76
Casanova Lonati	437.00	98.27
Casargo	829.00	42.81
Casarile	4074.00	557.41
Casatenovo	13111.00	1029.85
Casatisma	881.00	162.13
Casazza	4031.00	562.91
Casciago	3692.00	930.28
Casei Gerola	2485.00	99.42
Caselle Landi	1546.00	59.21
Caselle Lurani	2984.00	389.42
Casirate d'Adda	4117.00	404.91
Caslino d'Erba	1649.00	243.25
Casnate con Bernate	4974.00	946.57
Casnigo	3251.00	236.46
Casorate Primo	8779.00	891.54
Casorate Sempione	5721.00	823.13
Casorezzo	5465.00	826.99
Caspoggio	1374.00	188.32
Cassago Brianza	4370.00	1231.96
Cassano d'Adda	19079.00	1024.51
Cassano Magnago	21731.00	1762.56
Cassano Valcuvia	671.00	170.67
Cassiglio	108.00	8.04
Cassina de' Pecchi	13891.00	1920.80
Cassina Rizzardi	3351.00	955.52
Cassina Valsassina	515.00	183.19
Cassinetta di Lugagnano	1870.00	574.14
Cassolnovo	6934.00	219.79
Castana	746.00	135.68
Castano Primo	11207.00	585.58
Casteggio	6738.00	380.02
Castegnato	8532.00	917.87
Castel d'Ario	4622.00	206.33
Castel Gabbiano	445.00	78.96
Castel Goffredo	12733.00	297.91
Castel Mella	10989.00	1462.35
Castel Rozzone	2820.00	1669.01
Castelbelforte	3241.00	142.86
Castelcovati	6578.00	1057.49
Casteldidone	570.00	52.36
Castelgerundo	1498.00	75.04
Castellanza	14516.00	2069.26
Castelleone	9483.00	210.12
Castelletto di Branduzzo	1067.00	91.91
Castelli Calepio	10432.00	1029.55
Castello Cabiaglio	559.00	80.48
Castello d'Agogna	1145.00	110.10
Castello dell'Acqua	613.00	44.71
Castello di Brianza	2598.00	726.77
Castellucchio	5244.00	112.97
Castelmarte	1287.00	653.14
Castelnovetto	563.00	31.18
Castelnuovo Bocca d'Adda	1603.00	80.00
Castelnuovo Bozzente	889.00	251.52
Castelseprio	1308.00	349.51
Castelveccana	1989.00	95.87
Castelverde	5685.00	184.03
Castelvisconti	283.00	29.11
Castenedolo	11496.00	438.33
Castiglione d'Adda	4646.00	358.38
Castiglione delle Stiviere	23704.00	560.88
Castiglione Olona	7685.00	1111.45
Castione Andevenno	1598.00	92.47
Castione della Presolana	3419.00	80.45
Castiraga Vidardo	2873.00	562.92
Casto	1693.00	80.14
Castrezzato	7352.00	527.88
Castro	1299.00	504.44
Castronno	5194.00	1397.45
Cava Manara	6750.00	392.03
Cavargna	208.00	14.16
Cavaria con Premezzo	5819.00	1758.29
Cavenago d'Adda	2164.00	138.46
Cavenago di Brianza	7361.00	1673.12
Cavernago	2639.00	338.08
Cavriana	3838.00	103.71
Cazzago Brabbia	828.00	201.55
Cazzago San Martino	10961.00	489.35
Cazzano Sant'Andrea	1661.00	825.10
Cecima	227.00	23.41
Cedegolo	1150.00	105.84
Cedrasco	434.00	30.65
Cella Dati	500.00	27.01
Cellatica	4881.00	749.01
Cenate Sopra	2545.00	368.76
Cenate Sotto	3875.00	828.46
Cene	4263.00	496.22
Centro Valle Intelvi	3546.00	179.25
Cerano d'Intelvi	536.00	99.32
Ceranova	2239.00	484.34
Cercino	782.00	133.45
Ceresara	2590.00	69.93
Cerete	1605.00	113.50
Ceretto Lomellina	188.00	26.43
Cergnago	722.00	53.02
Ceriano Laghetto	6572.00	922.01
Cermenate	9236.00	1122.69
Cernobbio	6701.00	547.02
Cernusco Lombardone	3869.00	1030.73
Cernusco sul Naviglio	34604.00	2597.46
Cerro al Lambro	5127.00	510.29
Cerro Maggiore	15237.00	1502.91
Certosa di Pavia	5544.00	500.55
Cerveno	669.00	30.44
Cervesina	1218.00	100.07
Cervignano d'Adda	2189.00	542.89
Cesana Brianza	2379.00	649.26
Cesano Boscone	23970.00	6008.38
Cesano Maderno	39150.00	3355.65
Cesate	14453.00	2492.54
Ceto	1864.00	58.38
Cevo	857.00	24.39
Chiari	19094.00	499.05
Chiavenna	7319.00	678.76
Chiesa in Valmalenco	2461.00	23.07
Chieve	2271.00	368.26
Chignolo d'Isola	3474.00	616.12
Chignolo Po	3970.00	170.25
Chiuduno	6108.00	876.83
Chiuro	2543.00	49.31
Cicognolo	927.00	136.72
Cigognola	1307.00	167.22
Cigole	1557.00	155.47
Cilavegna	5475.00	307.33
Cimbergo	540.00	21.81
Cingia de' Botti	1220.00	85.79
Cinisello Balsamo	75581.00	5951.19
Cino	340.00	66.26
Cirimido	2136.00	810.74
Cisano Bergamasco	6318.00	815.89
Ciserano	5560.00	1073.30
Cislago	10412.00	933.54
Cisliano	4865.00	331.68
Cittiglio	3878.00	348.76
Civate	3801.00	411.82
Cividate al Piano	5176.00	533.00
Cividate Camuno	2742.00	838.52
Civo	1107.00	44.36
Claino con Osteno	550.00	43.40
Clivio	1914.00	643.77
Clusone	8607.00	328.66
Coccaglio	8664.00	718.02
Cocquio-Trevisago	4740.00	484.91
Codevilla	979.00	76.73
Codogno	15991.00	761.91
Cogliate	8530.00	1223.58
Colere	1120.00	60.24
Colico	7921.00	223.96
Colle Brianza	1740.00	207.02
Collebeato	4643.00	883.11
Colli Verdi	1088.00	26.79
Collio	2066.00	39.38
Cologne	7564.00	546.42
Cologno al Serio	11184.00	603.70
Cologno Monzese	47682.00	5679.60
Colonno	506.00	90.44
Colorina	1386.00	79.78
Colturano	2083.00	505.52
Colverde	5416.00	627.01
Colzate	1664.00	242.70
Comabbio	1185.00	249.57
Comazzo	2344.00	179.74
Comerio	2904.00	523.34
Comezzano-Cizzago	4000.00	253.87
Commessaggio	1085.00	95.12
Como	82522.00	2244.73
Comun Nuovo	4419.00	680.99
