dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
31/12/2019,31,12,2019,0,0,Cambodia,KH,KHM,16249798,Asia
20/05/2020,20,5,2020,237,0,Cameroon,CM,CMR,25216237,Africa
19/05/2020,19,5,2020,0,0,Cameroon,CM,CMR,25216237,Africa
18/05/2020,18,5,2020,0,0,Cameroon,CM,CMR,25216237,Africa
17/05/2020,17,5,2020,187,0,Cameroon,CM,CMR,25216237,Africa
16/05/2020,16,5,2020,151,1,Cameroon,CM,CMR,25216237,Africa
15/05/2020,15,5,2020,154,3,Cameroon,CM,CMR,25216237,Africa
14/05/2020,14,5,2020,111,11,Cameroon,CM,CMR,25216237,Africa
13/05/2020,13,5,2020,0,0,Cameroon,CM,CMR,25216237,Africa
12/05/2020,12,5,2020,110,11,Cameroon,CM,CMR,25216237,Africa
11/05/2020,11,5,2020,305,6,Cameroon,CM,CMR,25216237,Africa
10/05/2020,10,5,2020,9,0,Cameroon,CM,CMR,25216237,Africa
09/05/2020,9,5,2020,0,0,Cameroon,CM,CMR,25216237,Africa
08/05/2020,8,5,2020,0,0,Cameroon,CM,CMR,25216237,Africa
07/05/2020,7,5,2020,161,44,Cameroon,CM,CMR,25216237,Africa
